trials,paths
40,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
41,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
42,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
43,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
44,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
45,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
46,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
47,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
48,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
49,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
50,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
51,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
52,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
53,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
54,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
55,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
56,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
57,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
58,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
59,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
60,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
61,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
62,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
63,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
64,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
65,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
66,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
67,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
68,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
69,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
70,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
71,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
72,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
73,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
74,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
75,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
76,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
77,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
